epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1032.93,0.71266,3.50234,1.48179,0.74377,0.51005,0.57818,0.47255,0.74697,1.08033,1.43963,4.49829e-05,4.49829e-05,4.49829e-05
2,1910.03,0.52759,1.1653,1.24246,0.81604,0.75763,0.77828,0.68649,0.49628,0.58195,1.15136,8.10746e-05,8.10746e-05,8.10746e-05
3,2730.96,0.49543,0.71184,1.20509,0.83522,0.77347,0.81598,0.73632,0.43696,0.47536,1.08556,0.000108256,0.000108256,0.000108256
4,3601.52,0.47061,0.51241,1.17634,0.86648,0.81072,0.83878,0.74451,0.51342,0.43349,1.14847,9.4905e-05,9.4905e-05,9.4905e-05
5,4420.52,0.45097,0.4075,1.15605,0.88021,0.80869,0.84033,0.75698,0.45376,0.40118,1.08828,8.154e-05,8.154e-05,8.154e-05
6,5277.59,0.43252,0.34146,1.13486,0.89663,0.82994,0.87121,0.79693,0.41729,0.36304,1.04903,6.8175e-05,6.8175e-05,6.8175e-05
7,6096.98,0.42216,0.30179,1.12586,0.89265,0.82811,0.87078,0.79638,0.43344,0.34661,1.05987,5.481e-05,5.481e-05,5.481e-05
8,6995.74,0.41021,0.27207,1.1162,0.9066,0.84637,0.87613,0.80981,0.38105,0.31508,1.02049,4.1445e-05,4.1445e-05,4.1445e-05
9,7820.8,0.39766,0.24968,1.10289,0.91448,0.83785,0.88205,0.81496,0.38141,0.31887,1.01843,2.808e-05,2.808e-05,2.808e-05
10,8805.52,0.3893,0.23329,1.09507,0.92592,0.84287,0.8954,0.82679,0.38987,0.30876,1.02308,1.4715e-05,1.4715e-05,1.4715e-05
